Name,N,tokens_prompt,tokens_candidates,tokens_total,results
N4_20250908_154735,4,400,38,3108,fail
N4_20250908_155009,4,316,681,4224,ok
N4_20250908_163524,4,371,39,3039,ok
N4_20250908_163547,4,371,39,2325,ok
N4_20250908_163617,4,371,39,2876,ok
N4_20250908_163636,4,371,39,2254,ok
N4_20250908_163657,4,371,39,2499,ok
N4_20250908_163723,4,371,38,2737,ok
N4_20250908_163742,4,371,39,1964,ok
N4_20250908_163801,4,371,38,1928,ok
N4_20250908_163836,4,371,38,4313,ok
N4_20250908_163920,4,371,38,5320,ok
N5_20250908_164535,5,373,47,3681,ok
N5_20250908_164610,5,373,48,4060,ok
N5_20250908_164630,5,373,47,2257,ok
N5_20250908_164700,5,373,57,3352,fail
N5_20250908_164719,5,373,48,2197,ok
N5_20250908_164745,5,373,48,2913,ok
N5_20250908_164808,5,373,47,2551,ok
N5_20250908_164827,5,373,47,2210,ok
N5_20250908_164856,5,373,47,3554,ok
N5_20250908_164940,5,373,48,5514,ok
N6_20250908_165244,6,375,57,2521,ok
N6_20250908_165304,6,375,56,2417,ok
N6_20250908_165328,6,375,56,2476,ok
N6_20250908_165356,6,375,56,2390,ok
N6_20250908_165428,6,375,56,3993,ok
N6_20250908_165459,6,375,56,3514,ok
N6_20250908_165519,6,375,57,2585,ok
N6_20250908_165550,6,375,57,3745,ok
N6_20250908_165611,6,375,56,2569,ok
N6_20250908_165639,6,375,56,3101,ok
N7_20250909_105513,7,377,65,3153,ok
N7_20250909_105532,7,377,65,2262,ok
N7_20250909_105554,7,377,66,2470,ok
N7_20250909_105615,7,377,65,2520,ok
N7_20250909_105639,7,377,65,2912,ok
N7_20250909_105702,7,377,65,2784,ok
N7_20250909_105729,7,377,65,3372,ok
N7_20250909_105811,7,377,65,5232,ok
N7_20250909_105930,7,377,65,10059,ok
N7_20250909_110011,7,377,65,4976,ok
N8_20250909_111706,8,379,79,3321,ok
N8_20250909_111731,8,379,74,2754,ok
N8_20250909_111821,8,379,92,5749,fail
N8_20250909_111858,8,379,74,4759,ok
N8_20250909_111925,8,379,74,3263,ok
N8_20250909_111950,8,379,74,3033,ok
N8_20250909_112012,8,379,74,2637,ok
N8_20250909_112038,8,379,74,3312,ok
N8_20250909_112057,8,379,75,2386,ok
N8_20250909_112121,8,379,74,2808,ok
N9_20250909_112337,9,381,83,3062,ok
N9_20250909_112410,9,381,84,3993,ok
N9_20250909_112441,9,381,84,4089,ok
N9_20250909_112541,9,381,83,7993,ok
N9_20250909_112611,9,381,83,3887,ok
N9_20250909_112641,9,381,83,3980,ok
N9_20250909_112710,9,381,83,3545,ok
N9_20250909_112751,9,381,83,5571,ok
N9_20250909_112833,9,381,83,5647,ok
N9_20250909_112858,9,381,84,2999,ok
N10_20250909_114454,10,384,93,3274,ok
N10_20250909_114522,10,384,92,3702,ok
N10_20250909_114545,10,384,92,2991,ok
N10_20250909_114609,10,384,92,3225,ok
N10_20250909_114637,10,384,93,3426,ok
N10_20250909_114700,10,384,92,3169,ok
N10_20250909_114724,10,384,93,2855,ok
N10_20250909_114751,10,384,92,3681,ok
N10_20250909_114814,10,384,92,3189,ok
N10_20250909_114840,10,384,93,3406,ok
N15_20250909_115115,15,394,137,5160,ok
N15_20250909_115219,15,394,137,8614,ok
N15_20250909_115251,15,394,137,4739,ok
N15_20250909_115323,15,394,138,4489,ok
N15_20250909_115347,15,394,137,3057,ok
N15_20250909_115424,15,394,137,4447,ok
N15_20250909_115454,15,394,137,4124,ok
N15_20250909_115531,15,394,138,5188,ok
N15_20250909_115604,15,394,137,4294,ok
N15_20250909_115637,15,394,137,4484,ok
N30_20250909_115921,30,424,272,5036,ok
N30_20250909_115959,30,424,272,5085,ok
N30_20250909_120027,30,424,272,3580,ok
N30_20250909_120102,30,424,272,4528,ok
N30_20250909_120132,30,424,272,3495,ok
N30_20250909_120200,30,424,272,3599,ok
N30_20250909_120243,30,424,272,5970,ok
N30_20250909_120317,30,424,272,4338,ok
N30_20250909_120404,30,424,272,6274,ok
N30_20250909_120456,30,424,272,7018,ok
N50_20250909_124536,50,464,451,4276,ok
N50_20250909_124613,50,464,451,5036,ok
N50_20250909_124644,50,464,451,4082,ok
N50_20250909_124711,50,464,451,3539,ok
N50_20250909_124742,50,464,451,3813,ok
N50_20250909_124812,50,464,451,3908,ok
N50_20250909_124844,50,464,451,4016,ok
N50_20250909_124910,50,464,451,3661,ok
N50_20250909_124956,50,464,451,5521,ok
N50_20250909_125026,50,464,451,4128,ok
N80_20250909_132113,80,572,715,21957,fail
N80_20250909_132309,80,572,715,14485,fail
N80_20250909_132618,80,572,715,23669,fail
N80_20250909_132842,80,572,1343,17834,fail
N80_20250909_132952,80,572,715,9059,fail
N80_20250909_133101,80,572,715,9581,fail
N80_20250909_133357,80,572,715,22435,fail
N80_20250909_133543,80,572,715,12651,fail
N80_20250909_133659,80,572,715,10218,fail
N80_20250909_133913,80,572,715,17403,fail
N60_20250909_134923,60,484,541,5635,ok
N60_20250909_134953,60,484,541,4138,ok
N60_20250909_135032,60,484,541,4962,ok
N60_20250909_135129,60,484,541,7304,ok
N60_20250909_135233,60,484,541,8257,ok
N60_20250909_135312,60,484,541,5155,ok
N60_20250909_135348,60,484,541,4794,ok
N60_20250909_135416,60,484,541,3862,ok
N60_20250909_135502,60,484,541,6229,ok
N60_20250909_135607,60,484,541,8101,ok
N70_20250909_140316,70,526,15431,30273,fail
N70_20250909_140426,70,526,628,9602,fail
N70_20250909_140509,70,526,628,5822,fail
N70_20250909_140607,70,526,628,7185,fail
N70_20250909_140702,70,526,628,7208,fail
N70_20250909_140819,70,526,628,10494,fail
N70_20250909_140926,70,526,628,9132,fail
N70_20250909_141118,70,526,628,15498,fail
N70_20250909_141221,70,526,628,8529,fail
N70_20250909_141303,70,526,628,5510,fail
