Name,N,tokens_prompt,tokens_candidates,tokens_total,results
N2_20250908_115214,2,429,846,5906,fail
N2_20250908_115417,2,429,746,6348,fail
N2_20250908_115906,2,429,876,5280,ok
N5_20250908_120416,5,441,865,17600,fail
N2_20250908_120822,2,484,74,11254,ok
N5_20250908_121805,5,496,319,28110,fail
N4_20250908_125134,4,492,218,6790,ok
N4_20250908_125930,4,492,218,14202,ok
N4_20250908_130106,4,492,218,13461,ok
N4_20250908_130233,4,492,218,11546,ok
N4_20250908_130509,4,492,218,21217,ok
N4_20250908_130706,4,492,218,16007,ok
N4_20250908_131029,4,492,218,26073,fail
N4_20250908_131152,4,492,218,10603,ok
N4_20250908_131449,4,492,218,22061,fail
N4_20250908_131821,4,492,218,27644,fail
N4_20250908_131952,4,492,218,13076,ok
N5_20250908_132436,5,496,456,27807,fail
N5_20250908_132755,5,496,319,25990,fail
N5_20250908_133012,5,496,319,18313,ok
N5_20250908_133225,5,496,319,18417,ok
N5_20250908_133457,5,496,319,20052,ok
N5_20250908_133822,5,496,317,27203,fail
N5_20250908_134028,5,496,319,17282,ok
N5_20250908_134358,5,496,319,26824,fail
N5_20250908_134726,5,496,319,27021,ok
N5_20250908_134937,5,496,319,17110,ok
N6_20250908_145332,6,500,446,15385,ok
N6_20250908_145715,6,500,425,28808,fail
N6_20250908_150006,6,500,446,21321,ok
N6_20250908_150216,6,500,446,15902,ok
N6_20250908_151925,6,500,446,26235,ok
N6_20250908_152313,6,500,446,29386,ok
N6_20250908_152616,6,500,446,22117,fail
N6_20250908_152750,6,500,446,12114,ok
N6_20250908_153045,6,500,446,21070,ok
N7_20250908_155849,7,504,582,19818,fail
N7_20250908_160116,7,504,599,18417,ok
N7_20250908_160335,7,504,603,17296,fail
N7_20250908_160725,7,504,602,28142,fail
N7_20250908_161001,7,504,599,19676,ok
N7_20250908_163442,7,504,610,25492,fail
N7_20250908_163752,7,504,599,24765,ok
N7_20250908_164042,7,504,602,21572,fail
N7_20250908_164337,7,504,592,21173,fail
N7_20250908_164658,7,504,595,24950,fail
N8_20250908_165137,8,508,749,22977,fail
N8_20250908_165437,8,508,778,21905,ok
N8_20250908_165759,8,508,737,24368,fail
N8_20250908_170040,8,508,787,19649,fail
N8_20250908_170344,8,508,780,22811,fail
N9_20250909_105839,9,512,1015,24785,fail
N9_20250909_110134,9,512,988,21582,fail
N9_20250909_110414,9,512,920,19245,fail
N9_20250909_110740,9,512,936,24155,fail
N9_20250909_111035,9,512,939,20229,fail
N8_20250909_111925,8,508,787,22486,fail
N8_20250909_112249,8,508,778,25586,ok
N8_20250909_112526,8,508,734,19959,fail
N8_20250909_112810,8,508,757,20816,fail
N8_20250909_113134,8,508,815,26506,fail
N9_20250909_114716,9,512,1037,25746,fail
N9_20250909_115011,9,512,972,22830,fail
N9_20250909_115249,9,512,963,19370,fail
N9_20250909_115520,9,512,983,21063,ok
N9_20250909_115826,9,512,1014,24918,fail
N10_20250909_120156,10,519,1155,21547,fail
N10_20250909_120837,10,519,1270,20639,fail
N10_20250909_121116,10,519,1338,20913,fail
N10_20250909_121403,10,519,1222,21330,fail
N10_20250909_121707,10,519,1223,22494,fail
N10_20250909_121904,10,519,1212,14883,ok
N10_20250909_122244,10,519,1212,28011,ok
N10_20250909_122552,10,519,1015,22867,fail
N10_20250909_122832,10,519,1094,18787,fail
N10_20250909_123056,10,519,1223,17762,fail
N11_20250909_125109,11,523,1425,19685,fail
N11_20250909_125354,11,523,1389,21075,fail
N11_20250909_125634,11,523,1478,19623,fail
N11_20250909_130003,11,523,1443,25781,fail
N11_20250909_130253,11,523,1465,22224,ok
N11_20250909_130605,11,523,1493,24796,fail
N11_20250909_130825,11,523,1476,17539,fail
N11_20250909_131143,11,523,1408,24901,fail
N11_20250909_131352,11,523,1432,16844,fail
N11_20250909_131607,11,523,1552,16822,fail
N12_20250909_132049,12,527,1536,21915,fail
N12_20250909_132310,12,527,1663,16936,fail
N12_20250909_132541,12,527,1657,19422,fail
N12_20250909_132906,12,527,1786,25096,fail
N12_20250909_133229,12,527,1853,24139,fail
N12_20250909_133455,12,527,1740,17837,ok
N12_20250909_133718,12,527,1751,18095,fail
N12_20250909_134054,12,527,1873,26287,fail
N12_20250909_134333,12,527,1481,19558,fail
N12_20250909_134722,12,527,1447,26986,fail
N13_20250909_135103,13,531,2420,20598,fail
N13_20250909_135344,13,531,1941,20994,fail
N13_20250909_135633,13,531,1749,20956,fail
N13_20250909_135936,13,531,1718,21901,fail
N13_20250909_140315,13,531,2048,26172,fail
N13_20250909_140529,13,531,1905,16727,fail
N13_20250909_140823,13,531,1850,21002,fail
N13_20250909_141132,13,531,1790,22126,fail
N13_20250909_141440,13,531,2014,22443,fail
N13_20250909_141754,13,531,1727,26234,fail
