Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N2_p5_20250909_154627,541,541,,,,,,,,,52,29,,,,,,,,,11162,8933,,,,,,,,,1082,81,20095,ok
N2_p5_20250909_154921,541,541,,,,,,,,,47,29,,,,,,,,,8690,10219,,,,,,,,,1082,76,18909,ok
N2_p5_20250909_155210,541,541,,,,,,,,,47,47,,,,,,,,,5771,13729,,,,,,,,,1082,94,19500,ok
N2_p5_20250909_155421,541,541,,,,,,,,,47,47,,,,,,,,,5776,9704,,,,,,,,,1082,94,15480,fail
N2_p5_20250909_155824,541,541,,,,,,,,,47,29,,,,,,,,,7336,19535,,,,,,,,,1082,76,26871,ok
N2_p5_20250909_160014,541,541,,,,,,,,,51,20,,,,,,,,,4248,8603,,,,,,,,,1082,71,12851,fail
N2_p5_20250909_160245,541,541,,,,,,,,,47,47,,,,,,,,,3008,14237,,,,,,,,,1082,94,17245,fail
N2_p5_20250909_160550,541,541,,,,,,,,,52,47,,,,,,,,,4605,15252,,,,,,,,,1082,99,19857,ok
N2_p5_20250909_160905,541,541,,,,,,,,,47,29,,,,,,,,,15583,7758,,,,,,,,,1082,76,23341,ok
N2_p5_20250909_161311,541,541,,,,,,,,,47,52,,,,,,,,,12618,15942,,,,,,,,,1082,99,28560,ok
N3_p10_20250909_162016,549,549,,,,,,,,,92,52,,,,,,,,,7151,15298,,,,,,,,,1098,144,22449,ok
N3_p10_20250909_162830,549,549,,,,,,,,,92,92,,,,,,,,,5553,24786,,,,,,,,,1098,184,30339,fail
N2_p5_20250909_163038,541,541,,,,,,,,,47,29,,,,,,,,,6328,8504,,,,,,,,,1082,76,14832,ok
N2_p5_20250909_163417,541,541,,,,,,,,,47,29,,,,,,,,,5265,18858,,,,,,,,,1082,76,24123,ok
N2_p5_20250909_163627,541,541,,,,,,,,,52,29,,,,,,,,,3761,10874,,,,,,,,,1082,81,14635,ok
N2_p5_20250909_163953,541,541,,,,,,,,,47,52,,,,,,,,,6186,17592,,,,,,,,,1082,99,23778,fail
N2_p5_20250909_164130,541,541,,,,,,,,,47,29,,,,,,,,,3496,7665,,,,,,,,,1082,76,11161,ok
N2_p5_20250909_164430,541,541,,,,,,,,,47,47,,,,,,,,,3863,16513,,,,,,,,,1082,94,20376,fail
N2_p5_20250909_164601,541,541,,,,,,,,,47,29,,,,,,,,,4358,6087,,,,,,,,,1082,76,10445,ok
N2_p5_20250909_164808,541,541,,,,,,,,,47,47,,,,,,,,,5957,7667,,,,,,,,,1082,94,13624,ok
N2_p5_20250909_165119,541,541,,,,,,,,,47,29,,,,,,,,,10017,11865,,,,,,,,,1082,76,21882,ok
N3_p10_20250909_170717,549,549,,,,,,,,,92,92,,,,,,,,,8163,6855,,,,,,,,,1098,184,15018,fail
N3_p10_20250909_171019,549,549,,,,,,,,,92,47,,,,,,,,,8132,13118,,,,,,,,,1098,139,21250,ok
N3_p10_20250909_171301,549,549,,,,,,,,,92,47,,,,,,,,,5808,13095,,,,,,,,,1098,139,18903,ok
N3_p10_20250909_171511,549,549,,,,,,,,,92,92,,,,,,,,,4260,11918,,,,,,,,,1098,184,16178,fail
N3_p10_20250909_171841,549,549,,,,,,,,,92,92,,,,,,,,,4620,20569,,,,,,,,,1098,184,25189,fail
N3_p10_20250909_172137,549,549,,,,,,,,,92,47,,,,,,,,,7211,13937,,,,,,,,,1098,139,21148,ok
N3_p10_20250909_172517,549,549,,,,,,,,,92,92,,,,,,,,,8273,17846,,,,,,,,,1098,184,26119,fail
N3_p10_20250909_172751,549,549,,,,,,,,,92,47,,,,,,,,,5455,12286,,,,,,,,,1098,139,17741,ok
N3_p10_20250909_173039,549,549,,,,,,,,,92,92,,,,,,,,,6115,13043,,,,,,,,,1098,184,19158,fail
N3_p10_20250909_173239,549,549,,,,,,,,,92,47,,,,,,,,,5307,8916,,,,,,,,,1098,139,14223,ok
N4_p15_20250909_174250,555,555,,,,,,,,,137,83,,,,,,,,,5835,25393,,,,,,,,,1110,220,31228,ok
N4_p15_20250909_174656,555,555,,,,,,,,,137,137,,,,,,,,,5160,22559,,,,,,,,,1110,274,27719,fail
N4_p15_20250909_175136,555,555,,,,,,,,,137,137,,,,,,,,,18051,16003,,,,,,,,,1110,274,34054,fail
N4_p15_20250909_175841,555,555,,,,,,,,,137,137,,,,,,,,,19281,31363,,,,,,,,,1110,274,50644,fail
N4_p15_20250909_180100,555,,,,,,,,,,137,,,,,,,,,,17126,,,,,,,,,,555,137,17126,fail
N4_p15_20250909_180317,555,555,,,,,,,,,137,88,,,,,,,,,4852,12313,,,,,,,,,1110,225,17165,ok
N4_p15_20250909_180732,555,555,,,,,,,,,137,137,,,,,,,,,3993,27201,,,,,,,,,1110,274,31194,fail
N4_p15_20250909_180952,555,555,,,,,,,,,137,83,,,,,,,,,3924,13741,,,,,,,,,1110,220,17665,ok
N4_p15_20250909_181324,555,555,,,,,,,,,137,137,,,,,,,,,5295,20644,,,,,,,,,1110,274,25939,fail
N4_p15_20250909_181657,555,555,,,,,,,,,137,83,,,,,,,,,5934,19515,,,,,,,,,1110,220,25449,ok
N5_p25_20250909_182629,561,561,,,,,,,,,229,227,,,,,,,,,9428,27677,,,,,,,,,1122,456,37105,fail
N5_p25_20250909_183311,561,561,,,,,,,,,229,228,,,,,,,,,27062,24110,,,,,,,,,1122,457,51172,fail
N5_p25_20250909_183747,561,561,,,,,,,,,229,229,,,,,,,,,10047,23652,,,,,,,,,1122,458,33699,fail
N5_p25_20250909_184419,561,561,,,,,,,,,234,227,,,,,,,,,21351,26861,,,,,,,,,1122,461,48212,fail
N5_p25_20250909_184708,561,561,,,,,,,,,229,227,,,,,,,,,6090,15167,,,,,,,,,1122,456,21257,fail
N5_p25_20250909_185304,561,561,,,,,,,,,229,92,,,,,,,,,25560,18263,,,,,,,,,1122,321,43823,ok
N5_p25_20250909_185744,561,561,561,,,,,,,,229,227,229,,,,,,,,5694,15351,15908,,,,,,,,1683,685,36953,fail
N5_p25_20250909_190326,561,561,,,,,,,,,229,228,,,,,,,,,18025,25441,,,,,,,,,1122,457,43466,fail
N5_p25_20250909_190631,561,561,,,,,,,,,234,227,,,,,,,,,7940,15693,,,,,,,,,1122,461,23633,fail
N5_p25_20250909_191051,561,561,,,,,,,,,229,229,,,,,,,,,8971,23894,,,,,,,,,1122,458,32865,fail
N6_p30_20250909_195237,567,567,,,,,,,,,280,272,,,,,,,,,7324,31253,,,,,,,,,1134,552,38577,fail
N6_p30_20250909_195631,567,567,,,,,,,,,280,288,,,,,,,,,9399,21366,,,,,,,,,1134,568,30765,fail
N6_p30_20250909_200051,567,567,,,,,,,,,280,168,,,,,,,,,14927,19864,,,,,,,,,1134,448,34791,ok
N6_p30_20250909_200630,567,567,,,,,,,,,280,282,,,,,,,,,15484,29185,,,,,,,,,1134,562,44669,fail
N6_p30_20250909_201052,567,567,,,,,,,,,280,173,,,,,,,,,9114,24142,,,,,,,,,1134,453,33256,ok
N6_p30_20250909_201451,567,567,,,,,,,,,280,168,,,,,,,,,10202,21351,,,,,,,,,1134,448,31553,ok
N6_p30_20250909_202100,567,567,,,,,,,,,280,276,,,,,,,,,19180,28917,,,,,,,,,1134,556,48097,fail
N6_p30_20250909_202607,567,567,,,,,,,,,280,279,,,,,,,,,9758,29218,,,,,,,,,1134,559,38976,fail
N6_p30_20250909_203126,567,567,,,,,,,,,280,272,,,,,,,,,10367,31963,,,,,,,,,1134,552,42330,fail
N6_p30_20250910_095604,567,,,,,,,,,,280,,,,,,,,,,32287,,,,,,,,,,567,280,32287,fail
