Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N4_p10_20250909_150340,672,,,,,,,,,,979,,,,,,,,,,1651,,,,,,,,,,672,979,1651,fail
N4_p10_20250909_150704,672,670,,,,,,,,,1113,2234,,,,,,,,,1785,2904,,,,,,,,,1342,3347,4689,fail
N4_p10_20250909_150820,672,,,,,,,,,,979,,,,,,,,,,1651,,,,,,,,,,672,979,1651,fail
N4_p10_20250909_151609,672,670,,,,,,,,,1113,2234,,,,,,,,,1785,2904,,,,,,,,,1342,3347,4689,fail
N4_p10_20250909_151713,672,,,,,,,,,,979,,,,,,,,,,1651,,,,,,,,,,672,979,1651,fail
N4_p10_20250909_152042,672,670,,,,,,,,,1113,2234,,,,,,,,,1785,2904,,,,,,,,,1342,3347,4689,fail
N4_p10_20250909_152141,672,,,,,,,,,,979,,,,,,,,,,1651,,,,,,,,,,672,979,1651,fail
N4_p10_20250909_152518,672,670,,,,,,,,,1113,2234,,,,,,,,,1785,2904,,,,,,,,,1342,3347,4689,fail
N4_p10_20250909_152619,672,,,,,,,,,,979,,,,,,,,,,1651,,,,,,,,,,672,979,1651,fail
N4_p10_20250909_152953,672,670,,,,,,,,,1113,2234,,,,,,,,,1785,2904,,,,,,,,,1342,3347,4689,fail
N3_p10_20250909_153419,664,,,,,,,,,,835,,,,,,,,,,1499,,,,,,,,,,664,835,1499,ok
N3_p10_20250909_153509,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_153559,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_153656,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_153800,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_153900,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_153956,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_154205,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_154254,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N3_p10_20250909_154342,664,,,,,,,,,,942,,,,,,,,,,1606,,,,,,,,,,664,942,1606,ok
N5_p30_20250909_155048,680,,,,,,,,,,1860,,,,,,,,,,2540,,,,,,,,,,680,1860,2540,fail
N5_p30_20250909_155316,680,,,,,,,,,,2141,,,,,,,,,,2821,,,,,,,,,,680,2141,2821,fail
N5_p30_20250909_155547,680,,,,,,,,,,2141,,,,,,,,,,2821,,,,,,,,,,680,2141,2821,fail
