Name,tokens_prompt,tokens_candidates,tokens_total,results
N3_20250908_122332,544,68,2366,ok
N3_20250908_122420,544,68,2864,ok
N3_20250908_122439,544,68,2620,ok
N3_20250908_122458,544,68,2609,ok
N3_20250908_122517,544,68,2317,ok
N3_20250908_122536,544,68,2527,ok
N3_20250908_122556,544,68,2704,ok
N3_20250908_122619,544,68,3094,ok
N3_20250908_122637,544,63,2504,ok
N3_20250908_122654,544,68,2169,ok
N3_20250908_122722,544,68,3789,ok
N4_20250908_122908,544,140,6547,ok
N4_20250908_123003,544,140,7718,ok
N4_20250908_123040,544,140,5188,ok
N4_20250908_123114,544,140,4685,ok
N4_20250908_123152,544,140,5286,ok
N4_20250908_123252,544,140,8324,ok
N4_20250908_123327,544,173,4802,ok
N4_20250908_123428,544,140,8451,ok
N4_20250908_123515,544,140,6465,ok
N4_20250908_123558,544,140,5924,ok
N5_20250908_124243,544,349,7251,ok
N5_20250908_124348,544,349,9031,ok
N5_20250908_124444,544,284,8033,ok
N5_20250908_124534,544,283,6254,ok
N5_20250908_124621,544,284,6549,ok
N5_20250908_124741,544,284,11531,ok
N5_20250908_124842,544,284,8512,ok
N5_20250908_124936,544,284,7494,ok
N5_20250908_125017,544,349,5761,ok
N5_20250908_125124,544,283,9263,ok
N6_20250908_130640,544,701,9451,ok
N6_20250908_130805,544,701,11598,ok
N6_20250908_130931,544,701,12122,fail
N6_20250908_131117,544,701,15312,ok
N6_20250908_131258,544,572,13905,ok
N6_20250908_131448,544,701,15516,ok
N6_20250908_131605,544,572,10900,ok
N6_20250908_131753,544,701,14735,ok
N6_20250908_131847,544,572,7833,ok
N6_20250908_131957,544,572,9862,ok
N7_20250908_132133,544,1404,8979,ok
N7_20250908_132303,544,1143,12169,ok
N7_20250908_132356,544,1143,7396,ok
N7_20250908_132450,544,1148,7208,ok
N7_20250908_132548,544,1405,7860,ok
N7_20250908_132703,544,1405,10694,ok
N7_20250908_132752,544,1148,6746,ok
N7_20250908_132841,544,1147,6518,ok
N7_20250908_132940,544,1148,7956,ok
N7_20250908_133045,544,1148,8838,ok
N8_20250908_134145,544,2300,9032,ok
N8_20250908_134340,544,2813,16482,fail
N8_20250908_134500,544,2299,10641,ok
N8_20250908_134631,544,2367,12707,ok
N8_20250908_134753,544,2300,11476,ok
N8_20250908_134853,544,2297,8189,ok
N8_20250908_135003,544,2297,9690,ok
N8_20250908_135056,544,2300,7354,ok
N8_20250908_135142,544,2300,6210,ok
N8_20250908_135223,544,2300,5923,ok
N9_20250908_151832,544,5629,12972,ok
N9_20250908_151942,544,5629,9495,ok
N9_20250908_152054,544,4599,8716,fail
N9_20250908_152232,544,4599,13828,fail
N9_20250908_152403,544,4604,11907,ok
N9_20250908_152500,544,4604,7621,ok
N9_20250908_152615,544,4604,9209,ok
N9_20250908_152705,544,4604,6846,ok
N9_20250908_152842,544,4599,13459,ok
N9_20250908_152957,544,4599,9785,fail
N10_20250908_153723,549,9213,13013,fail
N10_20250908_154239,549,9213,14542,fail
N10_20250908_154524,549,8061,22718,fail
N10_20250908_154709,549,9213,14525,fail
N10_20250908_154855,549,8061,14408,fail
N10_20250908_155042,549,9214,14675,fail
N10_20250908_155233,549,9208,14951,fail
N10_20250908_155529,549,9215,24761,fail
N10_20250908_155701,549,8925,12456,fail
N10_20250908_155852,549,9213,15238,fail
N10_20250908_160033,549,6621,13977,fail
