Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N3_p10_20250626_094045,703,,,,,,,,,,68,,,,,,,,,,2313,,,,,,,,,,703,68,2313,ok
N3_p10_20250626_094325,703,,,,,,,,,,68,,,,,,,,,,3278,,,,,,,,,,703,68,3278,ok
N3_p10_20250626_094351,703,,,,,,,,,,68,,,,,,,,,,2983,,,,,,,,,,703,68,2983,ok
N3_p10_20250626_094414,703,,,,,,,,,,68,,,,,,,,,,2607,,,,,,,,,,703,68,2607,ok
N3_p10_20250626_094438,703,,,,,,,,,,68,,,,,,,,,,2774,,,,,,,,,,703,68,2774,ok
N3_p10_20250626_094512,703,,,,,,,,,,68,,,,,,,,,,3344,,,,,,,,,,703,68,3344,ok
N3_p10_20250626_094544,703,,,,,,,,,,68,,,,,,,,,,3049,,,,,,,,,,703,68,3049,ok
N3_p10_20250626_094608,703,,,,,,,,,,68,,,,,,,,,,2679,,,,,,,,,,703,68,2679,ok
N3_p10_20250626_094632,703,,,,,,,,,,68,,,,,,,,,,2606,,,,,,,,,,703,68,2606,ok
N3_p10_20250626_094705,703,,,,,,,,,,68,,,,,,,,,,3232,,,,,,,,,,703,68,3232,ok
N4_p10_20250626_095625,711,709,,,,,,,,,95,50,,,,,,,,,5805,7874,,,,,,,,,1420,145,13679,ok
N4_p10_20250626_095937,711,709,709,,,,,,,,95,95,50,,,,,,,,2822,10600,6344,,,,,,,,2129,240,19766,ok
N4_p10_20250626_100241,711,709,,,,,,,,,94,50,,,,,,,,,3696,15471,,,,,,,,,1420,144,19167,ok
N4_p10_20250626_100538,711,709,,,,,,,,,95,50,,,,,,,,,3463,15470,,,,,,,,,1420,145,18933,ok
N4_p10_20250626_100812,711,709,,,,,,,,,95,50,,,,,,,,,5510,11978,,,,,,,,,1420,145,17488,ok
N4_p10_20250626_102739,711,709,709,714,709,709,,,,,95,95,95,95,95,95,,,,,3008,11935,16049,10088,7589,17726,,,,,4261,570,66395,fail
N4_p10_20250626_105426,711,709,,,,,,,,,95,50,,,,,,,,,4507,9091,,,,,,,,,1420,145,13598,ok
N4_p10_20250626_111828,711,709,,,,,,,,,95,50,,,,,,,,,6453,15798,,,,,,,,,1420,145,22251,ok
N4_p10_20250626_112328,711,709,,,,,,,,,95,95,,,,,,,,,4318,17152,,,,,,,,,1420,190,21470,ok
N4_p10_20250626_113237,711,709,,,,,,,,,95,45,,,,,,,,,2873,8285,,,,,,,,,1420,140,11158,ok
N6_p30_20250626_165845,727,729,731,,,,,,,,275,275,275,,,,,,,,5051,13042,21444,,,,,,,,2187,825,39537,ok
N6_p30_20250626_170356,727,729,728,,,,,,,,275,275,32,,,,,,,,10081,16899,7171,,,,,,,,2184,582,34151,ok
N6_p30_20250626_170800,727,729,724,,,,,,,,338,275,338,,,,,,,,7525,10771,9844,,,,,,,,2180,951,28140,fail
N6_p30_20250626_171125,727,729,728,,,,,,,,274,275,32,,,,,,,,8069,10511,5010,,,,,,,,2184,581,23590,ok
N6_p30_20250626_171533,727,729,728,,,,,,,,338,275,32,,,,,,,,9668,10321,7734,,,,,,,,2184,645,27723,ok
N7_p60_20250626_172028,735,736,735,,,,,,,,545,545,68,,,,,,,,12882,17496,4208,,,,,,,,2206,1158,34586,ok
N7_p60_20250626_172552,735,736,735,,,,,,,,545,545,68,,,,,,,,8034,19148,10282,,,,,,,,2206,1158,37464,ok
