Name,tokens_prompt_iter1,tokens_prompt_iter2,tokens_prompt_iter3,tokens_prompt_iter4,tokens_prompt_iter5,tokens_prompt_iter6,tokens_prompt_iter7,tokens_prompt_iter8,tokens_prompt_iter9,tokens_prompt_iter10,tokens_candidates_iter1,tokens_candidates_iter2,tokens_candidates_iter3,tokens_candidates_iter4,tokens_candidates_iter5,tokens_candidates_iter6,tokens_candidates_iter7,tokens_candidates_iter8,tokens_candidates_iter9,tokens_candidates_iter10,tokens_total_iter1,tokens_total_iter2,tokens_total_iter3,tokens_total_iter4,tokens_total_iter5,tokens_total_iter6,tokens_total_iter7,tokens_total_iter8,tokens_total_iter9,tokens_total_iter10,tokens_prompt_sum,tokens_candidates_sum,tokens_total_sum,results
N3_p10_20250626_101251,911,,,,,,,,,,85,,,,,,,,,,3270,,,,,,,,,,911,85,3270,ok
N3_p10_20250626_101422,891,,,,,,,,,,65,,,,,,,,,,2834,,,,,,,,,,891,65,2834,ok
N3_p10_20250626_101509,894,,,,,,,,,,68,,,,,,,,,,2651,,,,,,,,,,894,68,2651,ok
N3_p10_20250626_101552,896,,,,,,,,,,70,,,,,,,,,,3188,,,,,,,,,,896,70,3188,ok
N3_p10_20250626_101635,891,,,,,,,,,,65,,,,,,,,,,2587,,,,,,,,,,891,65,2587,ok
N3_p10_20250626_101715,894,,,,,,,,,,68,,,,,,,,,,2818,,,,,,,,,,894,68,2818,ok
N3_p10_20250626_101812,891,,,,,,,,,,65,,,,,,,,,,4438,,,,,,,,,,891,65,4438,ok
N3_p10_20250626_101859,894,,,,,,,,,,68,,,,,,,,,,3519,,,,,,,,,,894,68,3519,ok
N3_p10_20250626_101940,894,,,,,,,,,,68,,,,,,,,,,2420,,,,,,,,,,894,68,2420,ok
N3_p10_20250626_102021,894,,,,,,,,,,68,,,,,,,,,,3225,,,,,,,,,,894,68,3225,ok
N4_p10_20250626_111456,929,718,,,,,,,,,92,47,,,,,,,,,3229,7684,,,,,,,,,1647,139,10913,ok
N4_p10_20250626_111727,931,720,,,,,,,,,94,49,,,,,,,,,3508,7839,,,,,,,,,1651,143,11347,ok
N4_p10_20250626_112054,933,722,,,,,,,,,96,96,,,,,,,,,2946,15926,,,,,,,,,1655,192,18872,fail
N4_p10_20250626_112658,929,718,1167,,,,,,,,92,92,92,,,,,,,,6283,16531,13265,,,,,,,,2814,276,36079,ok
N4_p10_20250626_113850,929,718,1169,956,1408,,,,,,92,92,92,92,92,,,,,,4237,18622,6954,23333,15930,,,,,,5180,460,69076,ok
N4_p10_20250626_120437,2588,1963,2836,,,,,,,,97,97,52,,,,,,,,4687,8505,8604,,,,,,,,7387,246,21796,ok
N4_p10_20250626_121135,3250,2211,3498,,,,,,,,97,97,52,,,,,,,,5151,23277,21037,,,,,,,,8959,246,49465,ok
N4_p10_20250626_122438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,fail
N4_p10_20250626_123608,4226,,,,,,,,,,97,,,,,,,,,,6368,,,,,,,,,,4226,97,6368,fail
N4_p10_20250626_202928,955,744,1245,1034,,,,,,,118,118,118,118,,,,,,,5184,14540,9845,28239,,,,,,,3978,472,57808,fail
N6_p30_20250626_215828,1197,972,1934,,,,,,,,338,338,338,,,,,,,,10806,10920,21328,,,,,,,,4103,1014,43054,fail
