Name,N,k,tokens_prompt,tokens_candidates,tokens_total,results
N2_k2_20250909_111330,2,2,325,42,7349,ok
N2_k2_20250909_111437,2,2,325,67,8261,ok
N2_k2_20250909_111533,2,2,325,67,7157,ok
N2_k2_20250909_111639,2,2,325,67,8259,ok
N2_k2_20250909_111741,2,2,325,543,7343,ok
N2_k2_20250909_111838,2,2,325,76,7114,ok
N2_k2_20250909_111935,2,2,325,51,6974,ok
N2_k2_20250909_112123,2,2,325,222,13373,ok
N2_k2_20250909_112224,2,2,325,103,7582,ok
N2_k2_20250909_112305,2,2,325,42,4970,ok
N3_k2_20250909_112623,3,2,325,525,17917,fail
N3_k2_20250909_112910,3,2,325,705,21447,fail
N3_k2_20250909_113101,3,2,325,129,14710,ok
N3_k2_20250909_113348,3,2,325,132,22026,ok
N3_k2_20250909_113513,3,2,325,136,11313,ok
N3_k2_20250909_113747,3,2,325,209,20205,ok
N3_k2_20250909_114027,3,2,325,111,21008,ok
N3_k2_20250909_114206,3,2,305,129,12501,ok
N3_k2_20250909_114412,3,2,305,129,15559,ok
N3_k2_20250909_114546,3,2,305,96,12219,ok
N4_k3_20250909_120210,4,3,305,101,20673,fail
N4_k3_20250909_120438,4,3,305,125,19525,ok
N4_k3_20250909_120823,4,3,305,130,26971,fail
N4_k3_20250909_121201,4,3,305,125,26929,ok
N4_k3_20250909_121625,4,3,305,142,31334,fail
N4_k3_20250909_122007,4,3,305,125,26682,ok
N4_k3_20250909_122254,4,3,305,101,20229,fail
N4_k3_20250909_122632,4,3,305,139,26573,fail
N4_k3_20250909_122838,4,3,305,135,15542,ok
N4_k3_20250909_123231,4,3,305,101,28002,fail
N5_k3_20250909_125309,5,3,305,185,29261,fail
N5_k3_20250909_125705,5,3,305,169,28792,fail
N5_k3_20250909_130117,5,3,305,174,30800,fail
N5_k3_20250909_130515,5,3,305,120,28127,fail
N5_k3_20250909_130818,5,3,305,183,22694,fail
N5_k3_20250909_131227,5,3,305,164,28441,fail
N5_k3_20250909_131444,5,3,305,159,16703,ok
N5_k3_20250909_131857,5,3,305,141,29689,fail
N5_k3_20250909_132221,5,3,305,203,25160,fail
N5_k3_20250909_132618,5,3,305,149,28399,fail
N6_k3_20250909_134128,6,3,305,430,34522,fail
N6_k3_20250909_134615,6,3,305,178,33981,fail
N6_k3_20250909_135037,6,3,305,183,31042,fail
N6_k3_20250909_135445,6,3,305,253,27886,fail
N6_k3_20250909_135906,6,3,305,1113,30971,fail
N6_k3_20250909_140300,6,3,305,198,27028,fail
N6_k3_20250909_140658,6,3,305,207,28935,fail
N6_k3_20250909_141030,6,3,305,149,25418,fail
N6_k3_20250909_141502,6,3,305,255,32169,fail
N6_k3_20250909_141932,6,3,305,183,31261,fail
N7_k3_20250909_142647,7,3,305,215,28452,fail
N7_k3_20250909_143100,7,3,305,646,28075,fail
N7_k3_20250909_143449,7,3,305,207,27148,fail
N7_k3_20250909_143904,7,3,305,208,29484,fail
N7_k3_20250909_144109,7,3,305,173,14822,fail
N7_k3_20250909_144557,7,3,305,323,33173,fail
N7_k3_20250909_145032,7,3,305,332,30379,fail
N8_k3_20250909_151809,8,3,305,495,30052,fail
N8_k3_20250909_152304,8,3,305,442,29365,fail
N8_k3_20250909_152731,8,3,305,453,30117,fail
N8_k3_20250909_153200,8,3,305,318,30497,fail
N8_k3_20250909_153612,8,3,305,350,28183,fail
N8_k3_20250909_154009,8,3,305,414,26528,fail
N8_k3_20250909_154432,8,3,305,743,30045,fail
N8_k3_20250909_154910,8,3,305,173,31213,fail
N8_k3_20250909_155340,8,3,305,774,30202,fail
N8_k3_20250909_155757,8,3,305,281,28308,fail
N8_k3_20250909_160441,8,3,305,389,29774,fail
